Comment,Designator,Footprint,LCSC Part #(optional)
IR Emitter,"D1,D2",SMD-2_2.7x3.1x1.9,C60109
TPS54302DDCR,U3,SOT-23-6L,C311983
1v8 LDO,U4,SOT-23-5, C27416
SGP30,U5,DFN-6_EP_2.5x2.5x0.8P,C514454
Temp and humidity sensor,U6,SMD,C503357
I2C level shifter,U7,VSSOP-8_2.0x2.3x0.5P,C129510
2N7002,Q1,SOT-23-3,C8545
10uF,C1,0805_C,
100nF,C2,0603_C,
47pF,C3,0603_C,
22uF,"C4,C5",0805_C,
1uF,"C6,C8",0603_C,
22nF,C7,0603_C,
22K?,"R1,R9",0603_R,
5.1K?,"R10,R2,R3,R4",0603_R,
4.7K?,R5,0603_R,
1K?,R6,0603_R,
27?,R7,0603_R,
100K?,R8,0603_R,
SLO0530H6R8MTT,L1,SMD_5.4x5.2x3mm,C325965
